,City,Country,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date
0,Saint-Philippe,CA,15.78,45.36,-73.48,66.0,1.0,2.46,1551489509.0
1,Albany,US,26.94,42.65,-73.75,68.0,1.0,3.36,1551489425.0
2,Avarua,CK,84.2,-21.21,-159.78,79.0,76.0,3.36,1551486600.0
3,Jamestown,AU,87.5,-33.21,138.6,29.0,0.0,7.94,1551489443.0
4,Hermanus,ZA,63.3,-34.42,19.24,94.0,0.0,1.99,1551489356.0
5,Ures,MX,75.34,30.73,-112.95,40.0,0.0,4.0,1551489257.0
6,Rikitea,PF,77.83,-23.12,-134.97,100.0,64.0,12.19,1551489353.0
7,Hasaki,JP,49.53,35.73,140.83,37.0,20.0,19.46,1551488675.0
8,Ambon,FR,51.44,47.55,-2.56,100.0,90.0,12.75,1551489556.0
9,Bowen,AU,84.22,-20.01,148.25,65.0,40.0,19.46,1551489342.0
10,Bud,NO,35.71,62.91,6.91,64.0,92.0,13.87,1551488499.0
11,Angoche,MZ,81.25,-16.23,39.91,100.0,56.0,6.38,1551489587.0
12,Rundu,NA,69.05,-17.91,19.77,81.0,32.0,2.57,1551489587.0
13,Mataura,NZ,61.0,-46.19,168.86,73.0,0.0,11.99,1551489004.0
14,Thompson,CA,-7.61,55.74,-97.86,69.0,75.0,6.93,1551484800.0
15,Sao Joao da Barra,BR,84.26,-21.64,-41.05,95.0,76.0,24.05,1551489587.0
16,Mehamn,NO,10.33,71.03,27.85,77.0,20.0,3.8,1551489587.0
17,Provideniya,RU,27.25,64.42,-173.23,96.0,0.0,14.54,1551489588.0
18,Faanui,PF,82.06,-16.48,-151.75,100.0,88.0,6.15,1551489588.0
19,Butembo,CD,59.78,0.12,29.29,98.0,56.0,2.35,1551489588.0
20,Vaini,IN,59.0,15.34,74.49,58.0,0.0,2.35,1551484800.0
22,Qaanaaq,GL,-17.04,77.48,-69.36,71.0,0.0,4.59,1551489589.0
23,Mahebourg,MU,80.24,-20.41,57.7,83.0,40.0,6.93,1551489239.0
24,Rio Grande,BR,75.8,-32.03,-52.1,68.0,0.0,14.54,1551489540.0
25,Tasiilaq,GL,17.6,65.61,-37.64,72.0,48.0,29.97,1551487800.0
26,Constitucion,MX,76.12,23.99,-104.67,11.0,5.0,17.22,1551489016.0
27,Atuona,PF,80.71,-9.8,-139.03,100.0,0.0,6.71,1551489242.0
28,Atherton,GB,45.68,53.52,-2.49,81.0,75.0,8.05,1551489311.0
29,Cayenne,GF,78.8,4.94,-52.33,74.0,100.0,6.93,1551486600.0
30,Port Alfred,ZA,66.45,-33.59,26.89,83.0,32.0,1.99,1551489410.0
31,East London,ZA,71.3,-33.02,27.91,100.0,88.0,4.03,1551489301.0
33,Alofi,NU,86.0,-19.06,-169.92,74.0,68.0,8.05,1551484800.0
35,Butaritari,KI,82.15,3.07,172.79,100.0,56.0,15.77,1551489595.0
36,Umea,SE,30.94,63.83,20.26,90.0,0.0,10.29,1551488405.0
37,Ushuaia,AR,51.8,-54.81,-68.31,71.0,75.0,8.05,1551484800.0
39,Mar del Plata,AR,61.81,-46.43,-67.52,68.0,32.0,6.04,1551489596.0
41,Marawi,PH,69.55,8.0,124.29,96.0,68.0,1.12,1551489413.0
42,Quatre Cocos,MU,80.28,-20.21,57.76,83.0,40.0,6.93,1551489540.0
44,Grindavik,IS,37.83,63.84,-22.43,100.0,75.0,1.12,1551488955.0
45,Dikson,RU,-2.5,73.51,80.55,83.0,48.0,22.7,1551489598.0
46,Kampong Thum,KH,74.36,12.71,104.89,81.0,0.0,4.25,1551489405.0
